InstanceType,InstanceFamily,InstanceCategory,InstanceCharacter,vCPU,Memory,CoreMark,CpuModel,ModelName,Vendor
c8gd.4xlarge,c8gd,Computing,c,16,32.0,28936.177951,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.8xlarge,c8gd,Computing,c,32,64.0,28981.140538999996,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.12xlarge,c8gd,Computing,c,48,96.0,28985.339696599996,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.16xlarge,c8gd,Computing,c,64,128.0,28986.517522600003,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.24xlarge,c8gd,Computing,c,96,192.0,28984.1648316,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
c8gd.48xlarge,c8gd,Computing,c,192,384.0,27923.915052000004,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
d2.xlarge,d2,Storage,d,4,30.0,,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel
d2.2xlarge,d2,Storage,d,8,61.0,,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel
d2.4xlarge,d2,Storage,d,16,122.0,,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel
d2.8xlarge,d2,Storage,d,32,244.0,,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel
d3.xlarge,d3,Storage,d,4,32.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3.2xlarge,d3,Storage,d,8,64.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3.4xlarge,d3,Storage,d,16,128.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3.8xlarge,d3,Storage,d,32,256.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.xlarge,d3en,Storage,d,4,16.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.2xlarge,d3en,Storage,d,8,32.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.4xlarge,d3en,Storage,d,16,64.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.8xlarge,d3en,Storage,d,32,128.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.12xlarge,d3en,Storage,d,48,192.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
d3en.6xlarge,d3en,Storage,d,24,96.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
dl1.24xlarge,dl1,AC,dl,96,768.0,28252.2637,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
dl2q.24xlarge,dl2q,AC,dl,96,768.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GH,Intel
f1.2xlarge,f1,AC,f,8,122.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
f1.4xlarge,f1,AC,f,16,244.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
f1.16xlarge,f1,AC,f,64,976.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
f2.12xlarge,f2,AC,f,48,512.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
f2.48xlarge,f2,AC,f,192,2048.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g4ad.xlarge,g4ad,AC,g,4,16.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g4ad.2xlarge,g4ad,AC,g,8,32.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g4ad.4xlarge,g4ad,AC,g,16,64.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g4ad.8xlarge,g4ad,AC,g,32,128.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g4ad.16xlarge,g4ad,AC,g,64,256.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g4dn.xlarge,g4dn,AC,g,4,16.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g4dn.2xlarge,g4dn,AC,g,8,32.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g4dn.4xlarge,g4dn,AC,g,16,64.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g4dn.8xlarge,g4dn,AC,g,32,128.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g4dn.12xlarge,g4dn,AC,g,48,192.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g4dn.16xlarge,g4dn,AC,g,64,256.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
g5.xlarge,g5,AC,g,4,16.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.2xlarge,g5,AC,g,8,32.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.4xlarge,g5,AC,g,16,64.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.8xlarge,g5,AC,g,32,128.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.12xlarge,g5,AC,g,48,192.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.16xlarge,g5,AC,g,64,256.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.24xlarge,g5,AC,g,96,384.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5.48xlarge,g5,AC,g,192,768.0,25550.3882,AMD EPYC 7R32,AMD EPYC 7R32,AMD
g5g.xlarge,g5g,AC,g,4,8.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
g5g.2xlarge,g5g,AC,g,8,16.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
g5g.4xlarge,g5g,AC,g,16,32.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
g5g.8xlarge,g5g,AC,g,32,64.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
g5g.16xlarge,g5g,AC,g,64,128.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
g6.xlarge,g6,AC,g,4,16.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.2xlarge,g6,AC,g,8,32.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.4xlarge,g6,AC,g,16,64.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.8xlarge,g6,AC,g,32,128.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.12xlarge,g6,AC,g,48,192.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.16xlarge,g6,AC,g,64,256.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.24xlarge,g6,AC,g,96,384.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6.48xlarge,g6,AC,g,192,768.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.xlarge,g6e,AC,g,4,32.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.2xlarge,g6e,AC,g,8,64.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.4xlarge,g6e,AC,g,16,128.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.8xlarge,g6e,AC,g,32,256.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.12xlarge,g6e,AC,g,48,384.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.16xlarge,g6e,AC,g,64,512.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.24xlarge,g6e,AC,g,96,768.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
g6e.48xlarge,g6e,AC,g,192,1536.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
gr6.4xlarge,gr6,gr,gr,16,128.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
gr6.8xlarge,gr6,gr,gr,32,256.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
h1.2xlarge,h1,Storage,h,8,32.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
h1.4xlarge,h1,Storage,h,16,64.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
h1.8xlarge,h1,Storage,h,32,128.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
h1.16xlarge,h1,Storage,h,64,256.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i2.xlarge,i2,Storage,i,4,30.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
i2.2xlarge,i2,Storage,i,8,61.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
i2.4xlarge,i2,Storage,i,16,122.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
i2.8xlarge,i2,Storage,i,32,244.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
i3.large,i3,Storage,i,2,15.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3.xlarge,i3,Storage,i,4,30.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3.2xlarge,i3,Storage,i,8,61.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3.4xlarge,i3,Storage,i,16,122.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3.8xlarge,i3,Storage,i,32,244.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3.16xlarge,i3,Storage,i,64,488.0,23883.6025,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
i3en.large,i3en,Storage,i,2,16.0,23738.917,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel
i3en.xlarge,i3en,Storage,i,4,32.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i3en.2xlarge,i3en,Storage,i,8,64.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i3en.12xlarge,i3en,Storage,i,48,384.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i3en.24xlarge,i3en,Storage,i,96,768.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i3en.3xlarge,i3en,Storage,i,12,96.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i3en.6xlarge,i3en,Storage,i,24,192.0,23883.6025,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
i4g.large,i4g,Storage,i,2,16.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4g.xlarge,i4g,Storage,i,4,32.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4g.2xlarge,i4g,Storage,i,8,64.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4g.4xlarge,i4g,Storage,i,16,128.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4g.8xlarge,i4g,Storage,i,32,256.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4g.16xlarge,i4g,Storage,i,64,512.0,19336.1335,AWS Graviton2 Processor,AWS Graviton2 Processor,AWS
i4i.large,i4i,Storage,i,2,16.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.xlarge,i4i,Storage,i,4,32.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.2xlarge,i4i,Storage,i,8,64.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.4xlarge,i4i,Storage,i,16,128.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.8xlarge,i4i,Storage,i,32,256.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.12xlarge,i4i,Storage,i,48,384.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,AWS
i4i.16xlarge,i4i,Storage,i,64,512.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.24xlarge,i4i,Storage,i,96,768.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i4i.32xlarge,i4i,Storage,i,128,1024.0,28985.5594,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,Intel
i7i.large,i7i,Storage,i,2,16.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.xlarge,i7i,Storage,i,4,32.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.2xlarge,i7i,Storage,i,8,64.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.12xlarge,i7i,Storage,i,48,384.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.18xlarge,i7i,Storage,i,72,576.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.24xlarge,i7i,Storage,i,96,768.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.3xlarge,i7i,Storage,i,12,96.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.48xlarge,i7i,Storage,i,192,1536.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7i.6xlarge,i7i,Storage,i,24,192.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.large,i7ie,Storage,i,2,16.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.xlarge,i7ie,Storage,i,4,32.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.2xlarge,i7ie,Storage,i,8,64.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.12xlarge,i7ie,Storage,i,48,384.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.18xlarge,i7ie,Storage,i,72,576.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.24xlarge,i7ie,Storage,i,96,768.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.3xlarge,i7ie,Storage,i,12,96.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.48xlarge,i7ie,Storage,i,192,1536.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i7ie.6xlarge,i7ie,Storage,i,24,192.0,,Intel Xeon Platinum 8559C,Intel Xeon Platinum 8559C,Intel
i8g.large,i8g,Storage,i,2,16.0,28984.5006812,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.xlarge,i8g,Storage,i,4,32.0,28985.8445084,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.2xlarge,i8g,Storage,i,8,64.0,28981.1396044,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.4xlarge,i8g,Storage,i,16,128.0,28943.9671958,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.8xlarge,i8g,Storage,i,32,256.0,28983.8282712,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.12xlarge,i8g,Storage,i,48,384.0,28982.484259,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.16xlarge,i8g,Storage,i,64,512.0,28987.860716200004,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.24xlarge,i8g,Storage,i,96,768.0,28983.4933556,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
i8g.48xlarge,i8g,Storage,i,192,1536.0,27921.5754906,AWS Graviton4 Processor,AWS Graviton4 Processor,AWS
im4gn.large,im4gn,Storage,im,2,8.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
im4gn.xlarge,im4gn,Storage,im,4,16.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
im4gn.2xlarge,im4gn,Storage,im,8,32.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
im4gn.4xlarge,im4gn,Storage,im,16,64.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
im4gn.8xlarge,im4gn,Storage,im,32,128.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
im4gn.16xlarge,im4gn,Storage,im,64,256.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
inf1.xlarge,inf1,AC,inf,4,8.0,28252.2637,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
inf1.2xlarge,inf1,AC,inf,8,16.0,28252.2637,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
inf1.24xlarge,inf1,AC,inf,96,192.0,28252.2637,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
inf1.6xlarge,inf1,AC,inf,24,48.0,28252.2637,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,Intel
inf2.xlarge,inf2,AC,inf,4,16.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
inf2.8xlarge,inf2,AC,inf,32,128.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
inf2.24xlarge,inf2,AC,inf,96,384.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
inf2.48xlarge,inf2,AC,inf,192,768.0,33539.1601,AMD EPYC 7R13 Processor,AMD EPYC 7R13,AMD
is4gen.medium,is4gen,Storage,is,1,6.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
is4gen.large,is4gen,Storage,is,2,12.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
is4gen.xlarge,is4gen,Storage,is,4,24.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
is4gen.2xlarge,is4gen,Storage,is,8,48.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
is4gen.4xlarge,is4gen,Storage,is,16,96.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
is4gen.8xlarge,is4gen,Storage,is,32,192.0,19336.1335,AWS Graviton2 Processor,Neoverse-N1,AWS
m1.small,m1,General,m,1,1.0,,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
m1.medium,m1,General,m,1,3.0,,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
m1.large,m1,General,m,2,7.0,,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
m1.xlarge,m1,General,m,4,15.0,,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,Intel
m2.xlarge,m2,General,m,4,17.0,,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel
m2.2xlarge,m2,General,m,8,34.0,,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel
m2.4xlarge,m2,General,m,16,68.0,,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2665 0 @ 2.40GHz,Intel
m3.medium,m3,General,m,1,3.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
m3.large,m3,General,m,2,7.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
m3.xlarge,m3,General,m,4,15.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
m3.2xlarge,m3,General,m,8,30.0,,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel(R) Xeon(R) CPU E5-2670 v2 @ 2.50GHz,Intel
m4.large,m4,General,m,2,8.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
m4.xlarge,m4,General,m,4,16.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
m4.2xlarge,m4,General,m,8,32.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
m4.4xlarge,m4,General,m,16,64.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
m4.16xlarge,m4,General,m,64,256.0,,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,Intel
m4.10xlarge,m4,General,m,40,160.0,,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz,Intel
m5.large,m5,General,m,2,8.0,21487.9145914,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel
m5.xlarge,m5,General,m,4,16.0,21534.0399352,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
m5.2xlarge,m5,General,m,8,32.0,21529.1949666,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,Intel
m5.4xlarge,m5,General,m,16,64.0,22261.6066038,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
m5.8xlarge,m5,General,m,32,128.0,21539.2119136,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,Intel
